ACQ Timestamp (Server Time in UTC), MessageID, Data Value For: TSG-2174150-3326-Message
2023-07-30T07:46:56.3074952Z, 7eda8203-a249-e411-b0cc-f8bc1246af59,      176573        14.5435         4.048380        33.1771        14.4845      1502.90        58.0721
2023-07-30T07:46:59.3075496Z, 7eda8203-a249-e411-b0cc-f8bc1246af59,      176574        14.5203         4.049178        33.2043        14.5029      1502.99        58.1052
2023-07-30T07:47:02.2980767Z, 7eda8203-a249-e411-b0cc-f8bc1246af59,      176575        14.5006         4.049872        33.2275        14.5049      1503.03        58.1089
2023-07-30T07:47:05.2980491Z, 7eda8203-a249-e411-b0cc-f8bc1246af59,      176576        14.4893         4.050570        33.2436        14.5339      1503.14        58.1609
2023-07-30T07:47:08.2981196Z, 7eda8203-a249-e411-b0cc-f8bc1246af59,      176577        14.4879         4.051167        33.2503        14.5150      1503.09        58.1271
2023-07-30T07:47:11.3086313Z, 7eda8203-a249-e411-b0cc-f8bc1246af59,      176578        14.4970         4.051764        33.2479        14.5135      1503.08        58.1243
2023-07-30T07:47:14.3086066Z, 7eda8203-a249-e411-b0cc-f8bc1246af59,      176579        14.5076         4.052361        33.2443        14.4205      1502.78        57.9569
2023-07-30T07:47:17.3088809Z, 7eda8203-a249-e411-b0cc-f8bc1246af59,      176580        14.5210         4.052861        33.2374        14.2375      1502.18        57.6275
2023-07-30T07:47:20.3090968Z, 7eda8203-a249-e411-b0cc-f8bc1246af59,      176581        14.5351         4.053357        33.2298        14.0411      1501.53        57.2739
2023-07-30T07:47:23.2993000Z, 7eda8203-a249-e411-b0cc-f8bc1246af59,      176582        14.5463         4.053853        33.2248        13.9766      1501.31        57.1579
2023-07-30T07:47:26.3090733Z, 7eda8203-a249-e411-b0cc-f8bc1246af59,      176583        14.5576         4.054253        33.2187        13.9667      1501.27        57.1400
2023-07-30T07:47:29.3091779Z, 7eda8203-a249-e411-b0cc-f8bc1246af59,      176584        14.5661         4.054652        33.2151        13.9628      1501.26        57.1330
2023-07-30T07:47:32.3002345Z, 7eda8203-a249-e411-b0cc-f8bc1246af59,      176585        14.5731         4.055148        33.2137        14.1137      1501.75        57.4047
2023-07-30T07:47:35.3001860Z, 7eda8203-a249-e411-b0cc-f8bc1246af59,      176586        14.5738         4.055548        33.2167        14.1826      1501.97        57.5287
2023-07-30T07:47:38.2998713Z, 7eda8203-a249-e411-b0cc-f8bc1246af59,      176587        14.5548         4.055944        33.2366        14.3659      1502.59        57.8587
2023-07-30T07:47:41.3009398Z, 7eda8203-a249-e411-b0cc-f8bc1246af59,      176588        14.5181         4.056444        33.2726        14.3871      1502.70        57.8968
2023-07-30T07:47:44.3010369Z, 7eda8203-a249-e411-b0cc-f8bc1246af59,      176589        14.4653         4.056841        33.3216        14.4685      1503.02        58.0434
2023-07-30T07:47:47.3011823Z, 7eda8203-a249-e411-b0cc-f8bc1246af59,      176590        14.3744         4.057242        33.4038        14.4643      1503.10        58.0357
2023-07-30T07:47:50.3212176Z, 7eda8203-a249-e411-b0cc-f8bc1246af59,      176591        14.2896         4.057642        33.4808        14.5133      1503.35        58.124
2023-07-30T07:47:50.4307276Z, 7eda8203-a249-e411-b0cc-f8bc1246af59, 0
2023-07-30T07:47:53.3012805Z, 7eda8203-a249-e411-b0cc-f8bc1246af59,      176592        14.2316         4.058039        33.5348        14.5287      1503.46        58.1516
2023-07-30T07:47:56.3016989Z, 7eda8203-a249-e411-b0cc-f8bc1246af59,      176593        14.1970         4.058338        33.5677        14.5398      1503.54        58.1717
2023-07-30T07:47:59.3017450Z, 7eda8203-a249-e411-b0cc-f8bc1246af59,      176594        14.1934         4.058540        33.5726        14.5435      1503.56        58.1782
2023-07-30T07:48:02.3017466Z, 7eda8203-a249-e411-b0cc-f8bc1246af59,      176595        14.2061         4.058539        33.5616        14.5542      1503.58        58.1976
2023-07-30T07:48:05.3023161Z, 7eda8203-a249-e411-b0cc-f8bc1246af59,      176596        14.2465         4.058539        33.5265        14.5590      1503.55        58.2062
2023-07-30T07:48:08.3026730Z, 7eda8203-a249-e411-b0cc-f8bc1246af59,      176597        14.2988         4.058437        33.4802        14.5677      1503.53        58.2219
2023-07-30T07:48:11.3026560Z, 7eda8203-a249-e411-b0cc-f8bc1246af59,      176598        14.3504         4.058239        33.4337        14.5737      1503.49        58.2327
2023-07-30T07:48:14.3031892Z, 7eda8203-a249-e411-b0cc-f8bc1246af59,      176599        14.3983         4.057939        33.3895        14.5783      1503.45        58.2410
2023-07-30T07:48:17.3026705Z, 7eda8203-a249-e411-b0cc-f8bc1246af59,      176600        14.4420         4.057737        33.3499        14.5840      1503.43        58.2512
