ACQ Timestamp (Server Time in UTC), MessageID, Data Value For: TSG-0289-Message
2023-09-10T00:02:00.1324021Z, 52da8203-a249-e411-b0cc-f8bc1246af59, t1= 23.0151, c1= 0.05242, s=  0.2645, sv=1494.009, t2= 23.8973
2023-09-10T00:02:01.1619356Z, 52da8203-a249-e411-b0cc-f8bc1246af59, t1= 23.0155, c1= 0.05242, s=  0.2645, sv=1494.011, t2= 23.8979
2023-09-10T00:02:02.1824938Z, 52da8203-a249-e411-b0cc-f8bc1246af59, t1= 23.0158, c1= 0.05242, s=  0.2645, sv=1494.012, t2= 23.8981
2023-09-10T00:02:03.2124258Z, 52da8203-a249-e411-b0cc-f8bc1246af59, t1= 23.0157, c1= 0.05242, s=  0.2645, sv=1494.012, t2= 23.8982
2023-09-10T00:02:04.2329727Z, 52da8203-a249-e411-b0cc-f8bc1246af59, t1= 23.0158, c1= 0.05242, s=  0.2645, sv=1494.012, t2= 23.8984
2023-09-10T00:02:05.2626040Z, 52da8203-a249-e411-b0cc-f8bc1246af59, t1= 23.0160, c1= 0.05242, s=  0.2645, sv=1494.015, t2= 23.8994
2023-09-10T00:02:06.2931520Z, 52da8203-a249-e411-b0cc-f8bc1246af59, t1= 23.0161, c1= 0.05242, s=  0.2645, sv=1494.014, t2= 23.8990
2023-09-10T00:02:07.3228114Z, 52da8203-a249-e411-b0cc-f8bc1246af59, t1= 23.0158, c1= 0.05241, s=  0.2645, sv=1494.015, t2= 23.8995
2023-09-10T00:02:08.3428524Z, 52da8203-a249-e411-b0cc-f8bc1246af59, t1= 23.0161, c1= 0.05242, s=  0.2645, sv=1494.017, t2= 23.9001
2023-09-10T00:02:09.3733999Z, 52da8203-a249-e411-b0cc-f8bc1246af59, t1= 23.0170, c1= 0.05242, s=  0.2645, sv=1494.018, t2= 23.9003
2023-09-10T00:02:10.4029170Z, 52da8203-a249-e411-b0cc-f8bc1246af59, t1= 23.0166, c1= 0.05242, s=  0.2645, sv=1494.020, t2= 23.9010
2023-09-10T00:02:11.4330269Z, 52da8203-a249-e411-b0cc-f8bc1246af59, t1= 23.0166, c1= 0.05242, s=  0.2645, sv=1494.019, t2= 23.9009
2023-09-10T00:02:12.4635644Z, 52da8203-a249-e411-b0cc-f8bc1246af59, t1= 23.0171, c1= 0.05242, s=  0.2645, sv=1494.020, t2= 23.9013
2023-09-10T00:02:13.4832480Z, 52da8203-a249-e411-b0cc-f8bc1246af59, t1= 23.0176, c1= 0.05242, s=  0.2645, sv=1494.023, t2= 23.9021
2023-09-10T00:02:14.5137897Z, 52da8203-a249-e411-b0cc-f8bc1246af59, t1= 23.0171, c1= 0.05242, s=  0.2645, sv=1494.022, t2= 23.9018
2023-09-10T00:02:15.5437114Z, 52da8203-a249-e411-b0cc-f8bc1246af59, t1= 23.0171, c1= 0.05242, s=  0.2645, sv=1494.023, t2= 23.9021
2023-09-10T00:02:16.5732457Z, 52da8203-a249-e411-b0cc-f8bc1246af59, t1= 23.0171, c1= 0.05242, s=  0.2645, sv=1494.023, t2= 23.9023
