ACQ Timestamp (Server Time in UTC), MessageID, Data Value For: TSG21-SBE38-Temp-F-Message
2023-08-27T19:38:33.5062312Z, 42da8203-a249-e411-b0cc-f8bc1246af59, $DERIV,54.02,12.2316
2023-08-27T19:38:34.5359479Z, 42da8203-a249-e411-b0cc-f8bc1246af59, $DERIV,54.03,12.2376
2023-08-27T19:38:35.5660205Z, 42da8203-a249-e411-b0cc-f8bc1246af59, $DERIV,54.03,12.2379
2023-08-27T19:38:36.6067923Z, 42da8203-a249-e411-b0cc-f8bc1246af59, $DERIV,54.03,12.2362
2023-08-27T19:38:37.6362971Z, 42da8203-a249-e411-b0cc-f8bc1246af59, $DERIV,54.03,12.2367
2023-08-27T19:38:38.6668107Z, 42da8203-a249-e411-b0cc-f8bc1246af59, $DERIV,54.03,12.2414
2023-08-27T19:38:39.7068526Z, 42da8203-a249-e411-b0cc-f8bc1246af59, $DERIV,54.03,12.2405
2023-08-27T19:38:40.7364215Z, 42da8203-a249-e411-b0cc-f8bc1246af59, $DERIV,54.02,12.2358
2023-08-27T19:38:41.7705517Z, 42da8203-a249-e411-b0cc-f8bc1246af59, $DERIV,54.04,12.2431
2023-08-27T19:38:42.8070798Z, 42da8203-a249-e411-b0cc-f8bc1246af59, $DERIV,54.06,12.2576
2023-08-27T19:38:43.8367085Z, 42da8203-a249-e411-b0cc-f8bc1246af59, $DERIV,54.07,12.2628
2023-08-27T19:38:44.8674659Z, 42da8203-a249-e411-b0cc-f8bc1246af59, $DERIV,54.07,12.2601
2023-08-27T19:38:45.9069447Z, 42da8203-a249-e411-b0cc-f8bc1246af59, $DERIV,54.06,12.2559
2023-08-27T19:38:46.9375325Z, 42da8203-a249-e411-b0cc-f8bc1246af59, $DERIV,54.05,12.2507
2023-08-27T19:38:47.9670664Z, 42da8203-a249-e411-b0cc-f8bc1246af59, $DERIV,54.06,12.2578
2023-08-27T19:38:49.0075461Z, 42da8203-a249-e411-b0cc-f8bc1246af59, $DERIV,54.1,12.2791
